KlasseMerkmalWert_Nr;KlasseMerkmal_Nr;Wert_ID;Klassifikationssystem_ID
592;295;AAA109v001;pc-5.0
593;295;AAA270v001;pc-5.0
594;296;AAA125v001;pc-5.0
595;296;AAA126v001;pc-5.0
596;296;AAA127v001;pc-5.0
597;296;AAA270v001;pc-5.0
598;296;AAA769v001;pc-5.0
599;296;AAA770v001;pc-5.0
600;296;AAA771v001;pc-5.0
601;296;AAA772v001;pc-5.0
602;296;AAA773v001;pc-5.0
603;296;AAA774v001;pc-5.0
604;297;AAA008v001;pc-5.0
605;297;AAA270v001;pc-5.0
606;297;AAA775v001;pc-5.0
607;297;AAA776v001;pc-5.0
608;297;AAA777v001;pc-5.0
609;300;AAA105v001;pc-5.0
610;300;AAA259v001;pc-5.0
611;300;AAA270v001;pc-5.0
612;303;AAA067v001;pc-5.0
613;303;AAA109v001;pc-5.0
614;303;AAA270v001;pc-5.0
615;305;AAA270v001;pc-5.0
616;305;AAA727v001;pc-5.0
617;305;AAA732v001;pc-5.0
618;306;AAA008v001;pc-5.0
619;306;AAA270v001;pc-5.0
620;306;AAA728v001;pc-5.0
621;306;AAE142v001;pc-5.0
622;306;AAE190v001;pc-5.0
623;306;AAE196v001;pc-5.0
624;306;AAE197v001;pc-5.0
625;307;AAA067v001;pc-5.0
626;307;AAA071v001;pc-5.0
627;307;AAA270v001;pc-5.0
628;315;AAA067v001;pc-5.0
629;315;AAA107v001;pc-5.0
630;315;AAA109v001;pc-5.0
631;315;AAA270v001;pc-5.0
632;319;AAA071v001;pc-5.0
633;319;AAA270v001;pc-5.0
634;319;AAA767v001;pc-5.0
635;319;AAA768v001;pc-5.0
636;321;AAA270v001;pc-5.0
637;321;AAA764v001;pc-5.0
638;321;AAA765v001;pc-5.0
639;322;AAA008v001;pc-5.0
640;322;AAA270v001;pc-5.0
641;322;AAA743v001;pc-5.0
642;322;AAA757v001;pc-5.0
643;322;AAA758v001;pc-5.0
644;322;AAA766v001;pc-5.0
645;322;AAE134v001;pc-5.0
646;322;AAE135v001;pc-5.0
647;322;AAE136v001;pc-5.0
648;322;AAE137v001;pc-5.0
649;322;AAE138v001;pc-5.0
650;322;AAE139v001;pc-5.0
651;323;AAA067v001;pc-5.0
652;323;AAA107v001;pc-5.0
653;323;AAA270v001;pc-5.0
654;323;AAA411v001;pc-5.0
655;323;AAA596v001;pc-5.0
656;329;AAA129v001;pc-5.0
657;329;AAA130v001;pc-5.0
658;329;AAA270v001;pc-5.0
659;330;AAA008v001;pc-5.0
660;330;AAA270v001;pc-5.0
661;330;AAA746v001;pc-5.0
662;330;AAD547v001;pc-5.0
663;330;AAE116v001;pc-5.0
664;336;AAA067v001;pc-5.0
665;336;AAA109v001;pc-5.0
666;336;AAA270v001;pc-5.0
667;339;AAA067v001;pc-5.0
668;339;AAA109v001;pc-5.0
669;339;AAA270v001;pc-5.0
670;345;AAA133v001;pc-5.0
671;345;AAA197v001;pc-5.0
672;345;AAA198v001;pc-5.0
673;345;AAA205v001;pc-5.0
674;345;AAA206v001;pc-5.0
675;345;AAA270v001;pc-5.0
676;345;EAB912v001;pc-5.0
677;349;AAA113v001;pc-5.0
678;349;AAA270v001;pc-5.0
679;355;AAA134v001;pc-5.0
680;355;AAA135v001;pc-5.0
681;355;AAA270v001;pc-5.0
682;356;AAA136v001;pc-5.0
683;356;AAA137v001;pc-5.0
684;356;AAA138v001;pc-5.0
685;356;AAA139v001;pc-5.0
686;356;AAA140v001;pc-5.0
687;356;AAA141v001;pc-5.0
688;356;AAA142v001;pc-5.0
689;356;AAA143v001;pc-5.0
690;356;AAA144v001;pc-5.0
691;356;AAA270v001;pc-5.0
692;358;AAA078v001;pc-5.0
693;358;AAA113v001;pc-5.0
694;358;AAA270v001;pc-5.0
695;364;AAA150v001;pc-5.0
696;364;AAA151v001;pc-5.0
697;364;AAA270v001;pc-5.0
698;365;AAA136v001;pc-5.0
