Schlagwort_ID;Schlagwortbezeichnung;Klassifikationssystem_ID
FAA031s001;Lackschutzplatte;pc-6.1
FAA032s001;Scheibe;pc-6.1
FAA033s001;Schutzplatte;pc-6.1
FAA034s001;U-Scheibe;pc-6.1
FAA035s001;Zahnscheibe;pc-6.1
AAA263s001;Drahtstifte;pc-6.1
AAB571s001;Drahtstift;pc-6.1
AAF259s001;Stift;pc-6.1
FAA036s001;Hartstahlnagel;pc-6.1
FAA037s001;Nagel;pc-6.1
FAA038s001;Spenglernagel;pc-6.1
FAA039s001;Stahlnadel;pc-6.1
FAA040s001;Stahlstift;pc-6.1
FAA041s001;Sternnagel;pc-6.1
AAA266s001;Balkenschuhe;pc-6.1
AAB740s001;Balkenschuh;pc-6.1
AAA267s001;Windrispenband;pc-6.1
AAB540s001;Windrispenbänder;pc-6.1
AAB814s001;Holzverbinder;pc-6.1
AAC959s001;Rispenband;pc-6.1
AAC960s001;Rispenbänder;pc-6.1
AAA268s001;Spanngeräte;pc-6.1
AAB659s001;Spanngerät;pc-6.1
FAA042s001;Knebelmutter;pc-6.1
AAA290s001;Schweißmuttern;pc-6.1
AAA291s001;Vierkantschweißmuttern;pc-6.1
AAA292s001;Sechskantschweißmuttern;pc-6.1
AAA293s001;Vierkant-Schweißmuttern;pc-6.1
AAA294s001;Sechskant-Schweißmuttern;pc-6.1
AAB493s001;Sechskantschweißmutter;pc-6.1
AAB494s001;Sechskant-Schweißmutter;pc-6.1
AAB495s001;Vierkantschweißmutter;pc-6.1
AAB496s001;Vierkant-Schweißmutter;pc-6.1
AAB651s001;Schweißmutter;pc-6.1
FAA043s001;Anschweißmutter;pc-6.1
AAA295s001;Anschweißmuttern;pc-6.1
AAB141s001;Anschweißmutter;pc-6.1
AAB723s001;Linsensenk-Hülsenmutter;pc-6.1
AAB724s001;Linsensenk-Hülsenmuttern;pc-6.1
AAA298s001;Ringmuttern;pc-6.1
AAB640s001;Ringmutter;pc-6.1
FAA044s001;Augenmutter;pc-6.1
AAA299s001;Rändelmuttern;pc-6.1
AAB638s001;Rändelmutter;pc-6.1
AAA300s001;Rohrmuttern;pc-6.1
AAB642s001;Rohrmutter;pc-6.1
AAA301s001;Kronenmuttern;pc-6.1
AAB625s001;Kronenmutter;pc-6.1
AAA302s001;Spannschlossmuttern;pc-6.1
AAB660s001;Spannschlossmutter;pc-6.1
AAA304s001;Kreuzlochmuttern;pc-6.1
AAB623s001;Kreuzlochmutter;pc-6.1
AAA303s001;Nutmutter;pc-6.1
AAB725s001;Nutmuttern;pc-6.1
AAA305s001;Verlängerungsmuttern;pc-6.1
AAA315s001;Verbindungsmuffen;pc-6.1
AAB677s001;Verlängerungsmutter;pc-6.1
AAB778s001;Verbindungsmuffe;pc-6.1
AAA306s001;Einschraubmuttern;pc-6.1
AAA307s001;Schraubdübel;pc-6.1
AAB578s001;Einschraubmutter;pc-6.1
AAA308s001;Sicherungsmuttern;pc-6.1
AAB656s001;Sicherungsmutter;pc-6.1
AAA309s001;Bundmuttern;pc-6.1
AAB191s001;Bundmutter;pc-6.1
AAA310s001;Kegelmuttern;pc-6.1
AAB620s001;Kegelmutter;pc-6.1
AAA311s001;Blechmuttern;pc-6.1
AAA314s001;Schnappmuttern;pc-6.1
AAB169s001;Schnappmutter;pc-6.1
AAB560s001;Blechmutter;pc-6.1
AAA312s001;Einschlagmuttern;pc-6.1
AAB576s001;Einschlagmutter;pc-6.1
AAA313s001;Setzmuttern;pc-6.1
AAB655s001;Setzmutter;pc-6.1
AAA316s001;Schaft-Rundbürsten;pc-6.1
AAA317s001;Schaftrundbürsten;pc-6.1
AAA318s001;Dekarbonisierbürsten;pc-6.1
AAA319s001;Schaftbürsten;pc-6.1
AAA320s001;Werkzeugbürsten;pc-6.1
AAA321s001;Werkzeugrundbürsten;pc-6.1
AAB454s001;Dekarbonisierbürste;pc-6.1
AAB455s001;Schaftbürste;pc-6.1
AAB456s001;Schaftrundbürste;pc-6.1
AAB457s001;Schaft-Rundbürste;pc-6.1
AAB458s001;Werkzeugbürste;pc-6.1
AAB459s001;Werkzeugrundbürste;pc-6.1
AAE110s001;Technische Bürsten;pc-6.1
AAF270s001;Reinigungswerkzeug;pc-6.1
AAA322s001;Universaldübel;pc-6.1
AAE047s001;Befestigungshilfsmittel;pc-6.1
AAE050s001;Mauerdübel;pc-6.1
AAA323s001;Rahmendübel;pc-6.1
AAA324s001;Universalrahmendübel;pc-6.1
AAA325s001;Justierdübel;pc-6.1
AAA326s001;Metallspreizdübel;pc-6.1
FAA045s001;Messingdübel;pc-6.1
AAA328s001;Schwerlastdübel;pc-6.1
AAA330s001;Tellerdübel;pc-6.1
AAA331s001;Putzdübel;pc-6.1
AAA332s001;Spiraldübel;pc-6.1
AAA333s001;Gasbetondübel;pc-6.1
AAA334s001;Porenbetondübel;pc-6.1
AAA337s001;Stahldrahtbesen;pc-6.1
AAA338s001;Stahlbesen;pc-6.1
AAA339s001;Besen;pc-6.1
AAA340s001;Werkstattbesen;pc-6.1
AAA341s001;DIY Bürsten;pc-6.1
AAA342s001;Hobbybürsten;pc-6.1
AAA343s001;Bastlerbürsten;pc-6.1
AAB192s001;Bastlerbürste;pc-6.1
AAB193s001;DIY Bürste;pc-6.1
AAB194s001;Hobbybürste;pc-6.1
AAB563s001;Bürste;pc-6.1
AAB564s001;Bürsten;pc-6.1
AAA344s001;Düsenbürsten;pc-6.1
AAA345s001;Flaschenbürsten;pc-6.1
AAB216s001;Düsenbürste;pc-6.1
AAB217s001;Flaschenbürste;pc-6.1
AAA346s001;Handbürsten;pc-6.1
AAA347s001;Handstielbürsten;pc-6.1
AAA348s001;Kehlnahtbürsten;pc-6.1
AAA349s001;Universalbürsten;pc-6.1
AAA350s001;Radiatorenbürsten;pc-6.1
AAA351s001;Feilenbürsten;pc-6.1
AAA352s001;Zündkerzenbürsten;pc-6.1
AAA353s001;Stahldrahthandbürsten;pc-6.1
AAA354s001;Handdrahtbürsten;pc-6.1
AAB299s001;Feilenbürste;pc-6.1
AAB300s001;Handbürste;pc-6.1
AAB301s001;Handdrahtbürste;pc-6.1
AAB302s001;Handstielbürste;pc-6.1
AAB303s001;Kehlnahtbürste;pc-6.1
AAB304s001;Radiatorenbürste;pc-6.1
AAB305s001;Stahldrahthandbürste;pc-6.1
AAB306s001;Universalbürste;pc-6.1
AAB307s001;Zündkerzenbürste;pc-6.1
AAA355s001;gewellte Kegelbürsten;pc-6.1
AAA356s001;Kegelbürsten;pc-6.1
AAA357s001;gezopfte Kegelbürsten;pc-6.1
AAB353s001;gewellte Kegelbürste;pc-6.1
AAB354s001;gezopfte Kegelbürste;pc-6.1
AAB355s001;Kegelbürste;pc-6.1
AAA358s001;Pinselbürsten;pc-6.1
AAA359s001;Endbürsten;pc-6.1
AAB392s001;Endbürste;pc-6.1
AAB632s001;Pinselbürste;pc-6.1
AAN399s001;Pinselbürste mit Schaft;pc-6.1
AAA360s001;Rohrbürsten;pc-6.1
AAA361s001;Siederohrbürsten;pc-6.1
AAA362s001;Kondensatorenbürsten;pc-6.1
AAA363s001;Lochbürsten;pc-6.1
AAA364s001;Zylinderbürsten;pc-6.1
AAA365s001;Innenbürsten;pc-6.1
AAA366s001;Rohrreinigungsbürsten;pc-6.1
AAA367s001;Fittingbürsten;pc-6.1
AAB423s001;Fittingbürste;pc-6.1
AAB424s001;Innenbürste;pc-6.1
AAB425s001;Kondensatorenbürste;pc-6.1
AAB426s001;Lochbürste;pc-6.1
AAB427s001;Rohrbürste;pc-6.1
AAB428s001;Rohrreinigungsbürste;pc-6.1
AAB429s001;Siederohrbürste;pc-6.1
AAB430s001;Zylinderbürste;pc-6.1
FAA046s001;Rohrwischer;pc-6.1
AAA374s001;Schleifbürsten;pc-6.1
AAA375s001;SiC-Rundbürsten;pc-6.1
AAA376s001;Schleifmittelrundbürsten;pc-6.1
AAB441s001;Schleifbürste;pc-6.1
AAB442s001;Schleifmittelrundbürste;pc-6.1
AAB443s001;SiC-Rundbürste;pc-6.1
AAG004s001;Rundbürste (Schleifborste);pc-6.1
AAA368s001;Rundbürsten;pc-6.1
AAA371s001;Winkelschleiferbürsten;pc-6.1
AAA372s001;gezopfte Rundbürsten;pc-6.1
AAA373s001;Zopfrundbürsten;pc-6.1
AAB436s001;Rundbürste;pc-6.1
AAB438s001;gezopfte Rundbürste;pc-6.1
AAB439s001;Zopfrundbürste;pc-6.1
AAB440s001;Winkelschleiferbürste;pc-6.1
AAG003s001;Rundbürste (gezopfter Draht);pc-6.1
AAA369s001;Maschinenbürsten;pc-6.1
AAA370s001;Werkbankschleiferbürsten;pc-6.1
AAA377s001;gewellte Rundbürsten;pc-6.1
AAB434s001;gewellte Rundbürste;pc-6.1
AAB435s001;Maschinenbürste;pc-6.1
AAB437s001;Werkbankschleiferbürste;pc-6.1
AAG002s001;Rundbürste (gewellter Draht);pc-6.1
EAJ620s001;Rundbürste (gerader Draht);pc-6.1
AAA378s001;Schrubber;pc-6.1
AAA379s001;Fleischer-Blockbürsten;pc-6.1
AAA380s001;Blockbürsten;pc-6.1
AAB486s001;Blockbürste;pc-6.1
AAB487s001;Fleischer-Blockbürste;pc-6.1
AAA381s001;Strukturierbürsten;pc-6.1
AAA382s001;Holzstrukturierbürsten;pc-6.1
AAB504s001;Holzstrukturierbürste;pc-6.1
AAB671s001;Strukturierbürste;pc-6.1
AAA383s001;Topfbürsten;pc-6.1
AAA384s001;gezopfte Topfbürsten;pc-6.1
AAA385s001;Zopftopfbürsten;pc-6.1
AAB511s001;Topfbürste;pc-6.1
AAB512s001;gezopfte Topfbürste;pc-6.1
AAB513s001;Zopftopfbürste;pc-6.1
AAG027s001;Topfbürste (gezopft);pc-6.1
AAA386s001;gewellte Topfbürsten;pc-6.1
AAA387s001;Flächenbürsten;pc-6.1
AAB509s001;Flächenbürste;pc-6.1
AAB510s001;gewellte Topfbürste;pc-6.1
AAG026s001;Topfbürste (gewellt);pc-6.1
AAN400s001;Topfbürste mit Schaft;pc-6.1
AAA388s001;Sortiment Bürsten;pc-6.1
AAA389s001;Schütten Bürsten;pc-6.1
AAA610s001;Bürstensets;pc-6.1
AAB195s001;Bürstenset;pc-6.1
AAB196s001;Schütten Bürste;pc-6.1
AAB197s001;Sortiment Bürste;pc-6.1
AAA390s001;Gipskartondübel;pc-6.1
AAF948s001;Gipskartondübel (Mauerdübel);pc-6.1
AAA391s001;Nageldübel;pc-6.1
FAA048s001;Befestigungssystem;pc-6.1
FAA049s001;Dübel;pc-6.1
FAA050s001;Nageldübel mit Nagelschraube;pc-6.1
FAA051s001;Nagelschraubdübel;pc-6.1
FAA052s001;Rahmen-Befestigung;pc-6.1
FAA053s001;Schlagdübel;pc-6.1
FAA054s001;Schraubnageldübel;pc-6.1
FAA055s001;Vormontierter Nageldübel;pc-6.1
AAA392s001;Fensterrahmendübel;pc-6.1
AAA393s001;Konusspreizdübel;pc-6.1
AAA394s001;Langschaftdübel;pc-6.1
AAA395s001;Abstandsdübel;pc-6.1
AAA329s001;Hohlraumdübel;pc-6.1
AAA396s001;Kippdübel;pc-6.1
AAA397s001;Federklappdübel;pc-6.1
AAF973s001;Kippdübel (Mauerdübel);pc-6.1
AAA327s001;Messingdübel;pc-6.1
AAA398s001;Spreizdübel;pc-6.1
AAA399s001;Dübel M-S;pc-6.1
AAA400s001;Dübel M;pc-6.1
AAA401s001;Steckdübel;pc-6.1
AAA402s001;Zykon-Bolzenanker;pc-6.1
AAA403s001;Bolzenanker;pc-6.1
AAA409s001;Anker;pc-6.1
AAG047s001;Zykonbolzenanker;pc-6.1
AAA404s001;Zykon-Durchsteckanker;pc-6.1
AAA405s001;Durchsteckanker;pc-6.1
AAG048s001;Zykondurchsteckanker;pc-6.1
AAA413s001;Ankerbolzen;pc-6.1
FAA056s001;Bolzen;pc-6.1
FAA057s001;Bolzenanker;pc-6.1
FAA059s001;Dübel mit Funktionserhalt;pc-6.1
FAA060s001;Hochleistungsanker;pc-6.1
FAA061s001;Hohlraumbefestigung;pc-6.1
FAA062s001;Schwerlastanker;pc-6.1
FAA063s001;Schwerlastbefestigung;pc-6.1
FAA064s001;Schwerlast-Bolzen;pc-6.1
FAA065s001;Sicherheits-System;pc-6.1
FAA066s001;Stahlanker;pc-6.1
AAA414s001;Hochleistungsanker;pc-6.1
AAA415s001;Bolzen;pc-6.1
AAA416s001;Mauerschrauben;pc-6.1
AAB628s001;Mauerschraube;pc-6.1
AAA417s001;Hülsenanker;pc-6.1
AAA418s001;Hohldeckenanker;pc-6.1
AAA419s001;Nagelhülsen;pc-6.1
AAB631s001;Nagelhülse;pc-6.1
AAA420s001;Nagelanker;pc-6.1
AAA421s001;Highbond-Anker;pc-6.1
AAF962s001;Highbondanker;pc-6.1
AAA422s001;Combi-Reaktionsanker;pc-6.1
AAA423s001;Reaktionsanker;pc-6.1
AAA407s001;Innengewindeanker;pc-6.1
AAA424s001;vormontierter Injektionsanker;pc-6.1
AAA425s001;Injektionsanker;pc-6.1
AAF965s001;Injektionsanker, vormontiert;pc-6.1
AAA426s001;Injektions-Netzanker;pc-6.1
AAA427s001;Injektions-Ankerhülsen;pc-6.1
AAA428s001;Ankerhülsen;pc-6.1
AAB322s001;Ankerhülse;pc-6.1
AAB323s001;Injektions-Ankerhülse;pc-6.1
AAA429s001;Injektions-Innengewindeanker;pc-6.1
AAA430s001;Einschraubhülsen;pc-6.1
AAB577s001;Einschraubhülse;pc-6.1
AAA431s001;UPAT-Schlaganker;pc-6.1
EAK508s001;Schlaganker;pc-6.1
FAA067s001;Nagelanker;pc-6.1
AAA432s001;UPAT-Expressanker;pc-6.1
AAA433s001;UPAT-Express-Anker;pc-6.1
AAA434s001;Expressanker;pc-6.1
EAK096s001;Express-Anker;pc-6.1
AAA437s001;Ringschrauben;pc-6.1
AAB641s001;Ringschraube;pc-6.1
AAE244s001;Schraube (metrisch);pc-6.1
FAA068s001;Augenschraube;pc-6.1
FAA069s001;Hakenschraube;pc-6.1
FAA070s001;Ösenschraube;pc-6.1
FAA071s001;Schraubhaken;pc-6.1
AAA438s001;Flachrundschrauben;pc-6.1
AAB593s001;Flachrundschraube;pc-6.1
AAA439s001;Halbrundschrauben mit Nase;pc-6.1
AAB604s001;Halbrundschraube mit Nase;pc-6.1
AAA440s001;Rändelschrauben;pc-6.1
AAB639s001;Rändelschraube;pc-6.1
AAA441s001;Vierkantschrauben;pc-6.1
AAB533s001;Vierkantschraube;pc-6.1
FAA072s001;Bundvierkantschraube;pc-6.1
FAA073s001;Kernansatzvierkantschraube;pc-6.1
AAA442s001;Sechskantschrauben;pc-6.1
AAB653s001;Sechskantschraube;pc-6.1
AAA443s001;Steinschrauben;pc-6.1
AAB668s001;Steinschraube;pc-6.1
AAB730s001;Schraubenbolzen;pc-6.1
AAA444s001;Zylinderschrauben;pc-6.1
AAB679s001;Zylinderschraube;pc-6.1
FAA074s001;Zylinderschraube mit Innensechskant;pc-6.1
AAA445s001;Flachkopfschrauben;pc-6.1
AAB592s001;Flachkopfschraube;pc-6.1
AAA446s001;Sicherungsschrauben;pc-6.1
AAB658s001;Sicherungsschraube;pc-6.1
