Wert_ID;Wertbezeichnung;Klassifikationssystem_ID
AAA229v001;Gipsfaserplatte;pc-5.1
AAA230v001;Tannenholz;pc-5.1
AAA231v001;Buchenholz;pc-5.1
AAA232v001;Leichtbauplatten;pc-5.1
AAA233v001;Estrich;pc-5.1
AAA235v001;Gewindebolzen und Mutter;pc-5.1
AAA236v001;Sechskantschraube;pc-5.1
AAA237v001;Gewindebolzen und Hutmutter;pc-5.1
AAA238v001;F;pc-5.1
AAA239v001;K;pc-5.1
AAA240v001;P;pc-5.1
AAA241v001;C;pc-5.1
AAA243v001;T;pc-5.1
AAA244v001;I;pc-5.1
AAA245v001;E;pc-5.1
AAA246v001;N;pc-5.1
AAA247v001;R;pc-5.1
AAA248v001;V;pc-5.1
AAA249v001;W;pc-5.1
AAA250v001;X;pc-5.1
AAA251v001;Sechskantmutter und Konusschraube;pc-5.1
AAA252v001;Sechskantmutter und Konusbolzen;pc-5.1
AAA253v001;Haken;pc-5.1
AAA254v001;Öse;pc-5.1
AAA255v001;für Schienenbefestigung;pc-5.1
AAA256v001;Gewinde M6 und M8;pc-5.1
AAA257v001;Eisen;pc-5.1
AAA259v001;metrisches Feingewinde;pc-5.1
AAA260v001;Rohrgewinde;pc-5.1
AAA261v001;zylindrisches Gewinde;pc-5.1
AAA262v001;verkupfert;pc-5.1
AAA263v001;stumpf;pc-5.1
AAA264v001;Bit-Kopf;pc-5.1
AAA265v001;Zylinderkopf;pc-5.1
AAA266v001;hydraulisch;pc-5.1
AAA267v001;manuell;pc-5.1
AAA268v001;CNC-gesteuert;pc-5.1
AAA269v001;automatisch;pc-5.1
AAA270v001;sonstige;pc-5.1
AAA279v001;10;pc-5.1
AAA280v001;20;pc-5.1
AAA284v001;P1;pc-5.1
AAA285v001;P2;pc-5.1
AAA286v001;P3;pc-5.1
AAA287v001;3;pc-5.1
AAA289v001;braun;pc-5.1
AAA291v001;weiß;pc-5.1
AAA297v001;blau;pc-5.1
AAA298v001;gelb;pc-5.1
AAA299v001;hoch;pc-5.1
AAA300v001;niedrig;pc-5.1
AAA301v001;teilbeschichtet;pc-5.1
AAA302v001;grau;pc-5.1
AAA303v001;Beutel;pc-5.1
AAA304v001;Kartusche;pc-5.1
AAA305v001;Skale (mechanisch);pc-5.1
AAA306v001;Schraubendreher;pc-5.1
AAA307v001;Bitaufnahme;pc-5.1
AAA308v001;Knarre;pc-5.1
AAA309v001;feststehender Vierkant;pc-5.1
AAA310v001;Wechselwerkzeug;pc-5.1
AAA311v001;lb-ft;pc-5.1
AAA312v001;Ncm;pc-5.1
AAA313v001;kpm;pc-5.1
AAA314v001;Nm;pc-5.1
AAA315v001;10 mm (3/8 Zoll) Sechskant;pc-5.1
AAA316v001;12,5 mm (1/2 Zoll) Vierkant;pc-5.1
AAA317v001;25 mm (1,0 Zoll) Vierkant;pc-5.1
AAA318v001;6,3 mm (1/4 Zoll) Sechskant;pc-5.1
AAA319v001;8 mm (5/16 Zoll) Sechskant;pc-5.1
AAA320v001;10 mm (3/8 Zoll) Vierkant;pc-5.1
AAA321v001;20 mm (3/4 Zoll) Vierkant;pc-5.1
AAA322v001;37,5 mm (1 1/2 Zoll) Vierkant;pc-5.1
AAA323v001;6,3 mm (1/4 Zoll Vierkant;pc-5.1
AAA324v001;Rechteck;pc-5.1
AAA325v001;Schwalbenschwanz;pc-5.1
AAA326v001;orange;pc-5.1
AAA327v001;Silber;pc-5.1
AAA328v001;Flasche;pc-5.1
AAA329v001;Dose;pc-5.1
AAA330v001;Tube;pc-5.1
AAA331v001;Set;pc-5.1
AAA332v001;Spritze;pc-5.1
AAA333v001;Small (S);pc-5.1
AAA334v001;Large (L);pc-5.1
AAA335v001;Medium (M);pc-5.1
AAA336v001;Polycarbonat;pc-5.1
AAA337v001;extra large (XL);pc-5.1
AAA338v001;extra extra large (XXL);pc-5.1
AAA339v001;wasserlöslichen;pc-5.1
AAA340v001;wasserunlöslichen;pc-5.1
AAA341v001;wechselnden;pc-5.1
AAA342v001;Kanne;pc-5.1
AAA343v001;poröse Materialien;pc-5.1
AAA344v001;große Spalten;pc-5.1
AAA345v001;Styropor;pc-5.1
AAA346v001;Gel;pc-5.1
AAA347v001;fließfähig;pc-5.1
AAA348v001;transparent;pc-5.1
AAA349v001;CR;pc-5.1
AAA350v001;EPDM;pc-5.1
AAA351v001;IBR Butyl;pc-5.1
AAA352v001;NR;pc-5.1
AAA353v001;PU Polyurethan;pc-5.1
AAA354v001;VMQ R45;pc-5.1
AAA355v001;VMQ Silikon;pc-5.1
AAA356v001;CSM Hypalan;pc-5.1
AAA357v001;FPM Viton;pc-5.1
AAA358v001;NBR;pc-5.1
AAA359v001;NR/SBR;pc-5.1
AAA360v001;VMQ R40;pc-5.1
AAA361v001;VMQ R60;pc-5.1
AAA362v001;VMQ T60;pc-5.1
AAA363v001;Eimer;pc-5.1
AAA364v001;Schlauchbeutel;pc-5.1
AAA365v001;Spraydose;pc-5.1
AAA372v001;erhöhte mechanische Festigkeit;pc-5.1
AAA373v001;Flüssigkeiten;pc-5.1
AAA374v001;ohne mechanische Grundfestigkeit;pc-5.1
AAA380v001;Stoss mit geringer Energie;pc-5.1
AAA382v001;Regenrinne;pc-5.1
AAA383v001;Slot;pc-5.1
AAA384v001;oval;pc-5.1
